scenario,probe_patch,expected_status,expected_reason_codes
threshold_error,"{""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":9,""contributor_count"":3,""max_contribution"":4,""category_key"":""all""}]}]}",blocked,"[""threshold_error_exposure""]"
current_mapping_missing,"{""view_mode"":""current"",""tree_version"":""regions-v2"",""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""current"",""tree_version"":""regions-v2"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-new"",""tree_version"":""regions-v2"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}],""location_states"":[{""state"":""resolved"",""region_id"":""city-old"",""tree_version"":""regions-v1"",""included_in_region_cell"":true}]}",blocked,"[""current_mapping_missing""]"
current_mapping_mismatch,"{""view_mode"":""current"",""tree_version"":""regions-v2"",""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""current"",""tree_version"":""regions-v2"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-new"",""tree_version"":""regions-v2"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}],""location_states"":[{""state"":""resolved"",""region_id"":""city-old"",""tree_version"":""regions-v1"",""included_in_region_cell"":true}],""version_mappings"":[{""from_region_id"":""city-old"",""from_tree_version"":""regions-v1"",""to_region_id"":""city-other"",""to_tree_version"":""regions-v2""}]}",blocked,"[""current_mapping_missing""]"
current_no_evidence,"{""view_mode"":""current"",""tree_version"":""regions-v2"",""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""current"",""tree_version"":""regions-v2"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-new"",""tree_version"":""regions-v2"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}],""location_states"":[{""state"":""pending_resolution"",""region_id"":null,""tree_version"":null,""included_in_region_cell"":false},{""state"":""not_applicable"",""region_id"":null,""tree_version"":null,""included_in_region_cell"":false}]}",blocked,"[""current_mapping_missing""]"
current_mapping_explicit,"{""view_mode"":""current"",""tree_version"":""regions-v2"",""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""current"",""tree_version"":""regions-v2"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-new"",""tree_version"":""regions-v2"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}],""location_states"":[{""state"":""resolved"",""region_id"":""city-old"",""tree_version"":""regions-v1"",""included_in_region_cell"":true}],""version_mappings"":[{""from_region_id"":""city-old"",""from_tree_version"":""regions-v1"",""to_region_id"":""city-new"",""to_tree_version"":""regions-v2""}]}",approved,"[]"
original_provenance_missing,"{""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-unproven"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}]}",blocked,"[""original_provenance_missing""]"
pending_in_region,"{""location_states"":[{""state"":""resolved"",""region_id"":""city-a"",""tree_version"":""regions-v1"",""included_in_region_cell"":true},{""state"":""pending_resolution"",""region_id"":null,""tree_version"":null,""included_in_region_cell"":true}]}",blocked,"[""pending_resolution_not_reportable""]"
not_applicable_in_region,"{""location_states"":[{""state"":""resolved"",""region_id"":""city-a"",""tree_version"":""regions-v1"",""included_in_region_cell"":true},{""state"":""not_applicable"",""region_id"":null,""tree_version"":null,""included_in_region_cell"":true}]}",blocked,"[""not_applicable_separate""]"
mixed_view,"{""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""current"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}]}",blocked,"[""mixed_view""]"
mixed_tree,"{""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v2"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v2"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}]}",blocked,"[""mixed_tree_version""]"
unknown_granularity,"{""region_granularity"":""hex_grid"",""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""hex_grid"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}]}",blocked,"[""unknown_granularity""]"
free_scope,"{""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""arbitrary_polygon"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}]}",blocked,"[""free_region_scope""]"
coordinates,"{""region_granularity"":""coordinates"",""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""coordinates"",""scope_kind"":""coordinates"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}]}",blocked,"[""coordinate_dimension""]"
fake_not_applicable,"{""location_states"":[{""state"":""resolved"",""region_id"":""city-a"",""tree_version"":""regions-v1"",""included_in_region_cell"":true},{""state"":""not_applicable"",""region_id"":""city-a"",""tree_version"":""regions-v1"",""included_in_region_cell"":false}]}",blocked,"[""fake_not_applicable""]"
pending_with_region,"{""location_states"":[{""state"":""pending_resolution"",""region_id"":""city-a"",""tree_version"":""regions-v1"",""included_in_region_cell"":false}]}",malformed,"[]"
empty_external_target,"{""external_facts"":[{""fact_kind"":""known_venue_attendance"",""known_unit_count"":1,""target_region_id"":"" "",""target_tree_version"":""regions-v1"",""period_key"":""week-a"",""category_key"":""all""}]}",malformed,"[]"
duplicate_report_key,"{""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]},{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":""displayed"",""value_count"":11,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}]}",malformed,"[]"
null_privacy_status,"{""reports"":[{""report_key"":""report-a"",""period_key"":""week-a"",""view_mode"":""original"",""tree_version"":""regions-v1"",""region_granularity"":""smallest_region"",""scope_kind"":""fixed_nodes"",""cells"":[{""region_id"":""city-a"",""tree_version"":""regions-v1"",""privacy_status"":null,""value_count"":10,""contributor_count"":3,""max_contribution"":5,""category_key"":""all""}]}]}",malformed,"[]"
null_location_state,"{""location_states"":[{""state"":null,""region_id"":null,""tree_version"":null,""included_in_region_cell"":false}]}",malformed,"[]"
